町丁コード,区,町丁名,経度,緯度,総人口,リスク加重人口,最寄りAED距離_km,500m以内AED数
14131001001,川崎区,中瀬一丁目,139.72839,35.541375,0,0.0,0.5793295214010388,0
14131001002,川崎区,中瀬二丁目,139.727781,35.537671,2231,14312.5,0.1697273632541562,2
14131001003,川崎区,中瀬三丁目,139.732389,35.538605,5239,18114.510000000002,0.3459637607122523,3
14131002001,川崎区,大師駅前一丁目,139.726888,35.534737,2297,12779.26,0.15450446760039857,5
14131002002,川崎区,大師駅前二丁目,139.723248,35.534103,3175,9283.04,0.09007254533671813,4
14131003001,川崎区,川中島一丁目,139.726841,35.532268,2440,14764.18,0.15672176698433085,5
14131003002,川崎区,川中島二丁目,139.727472,35.530287,1087,6288.1,0.16156376780219217,4
14131004000,川崎区,伊勢町,139.721602,35.531991,2711,13619.65,0.2534920537719927,7
14131005001,川崎区,藤崎一丁目,139.720948,35.529388,2791,18401.56,0.053478078010119764,8
14131005002,川崎区,藤崎二丁目,139.72068,35.52672,1903,11418.47,0.11122472148525496,10
14131005003,川崎区,藤崎三丁目,139.724088,35.527824,2330,14697.14,0.22081039529373694,7
14131005004,川崎区,藤崎四丁目,139.722141,35.524411,3740,22219.29,0.08319586413601614,11
14131006001,川崎区,観音一丁目,139.726357,35.527475,2776,16657.72,0.23670543173320321,7
14131006002,川崎区,観音二丁目,139.729473,35.52751,3253,16478.36,0.19071763265350505,6
14131007001,川崎区,池上新町一丁目,139.728017,35.523199,1051,6154.85,0.08654888601411863,7
14131007002,川崎区,池上新町二丁目,139.73028,35.52445,3217,17935.95,0.1808218319068488,8
14131007003,川崎区,池上新町三丁目,139.733766,35.521816,121,1011.03,0.20995128041304875,6
14131008000,川崎区,四谷上町,139.734512,35.527536,5169,29123.58,0.19765032247353867,7
14131009000,川崎区,四谷下町,139.738079,35.525468,1523,8011.65,0.150670549925487,4
14131010000,川崎区,大師公園,139.731402,35.531814,0,0.0,0.11552531213050934,10
14131011000,川崎区,台町,139.732887,35.530165,2118,10615.18,0.12986041690281575,10
14131012001,川崎区,昭和一丁目,139.737099,35.533116,1066,7002.74,0.13270545543439016,12
14131012002,川崎区,昭和二丁目,139.737592,35.530968,2564,15273.66,0.1957530292064534,12
14131013000,川崎区,出来野,139.739885,35.533681,1472,8431.65,0.0935906050740537,7
14131014000,川崎区,大師本町,139.730166,35.535748,1503,7518.51,0.2955410612823686,6
14131015000,川崎区,大師町,139.730628,35.53386,871,5944.72,0.2734547394612445,7
14131016001,川崎区,東門前一丁目,139.733307,35.535562,1041,5350.89,0.20665187966307938,8
14131016002,川崎区,東門前二丁目,139.734664,35.533411,493,3324.32,0.07701587936933016,12
14131016003,川崎区,東門前三丁目,139.736458,35.535558,2270,9048.2,0.12603678928096274,12
14131017001,川崎区,大師河原一丁目,139.738454,35.54065,1043,3130.81,0.15691651194192496,2
14131017002,川崎区,大師河原二丁目,139.739911,35.536032,2271,5884.71,0.024252442661908145,8
14131018001,川崎区,殿町一丁目,139.743459,35.540802,2106,10191.94,0.3165790394084517,4
14131018002,川崎区,殿町二丁目,139.747401,35.541009,1261,6154.82,0.2903864993630243,5
14131018003,川崎区,殿町三丁目,139.757853,35.540165,957,3869.65,0.5585054539651753,0
14131019000,川崎区,小島町,139.756791,35.534437,13,6.52,0.6072352851501341,0
14131020001,川崎区,江川一丁目,139.743974,35.536602,612,3131.54,0.11017340632248139,7
14131020002,川崎区,江川二丁目,139.74749,35.536267,1527,5110.41,0.24535658901273116,8
14131021001,川崎区,田町一丁目,139.742182,35.535289,388,2644.0,0.20967873229855433,8
14131021002,川崎区,田町二丁目,139.745307,35.534536,2385,13262.06,0.1560233488028113,8
14131021003,川崎区,田町三丁目,139.749543,35.534778,323,1277.7,0.09334715316529633,6
14131022001,川崎区,日ノ出一丁目,139.741918,35.531913,1032,5204.52,0.17571060618672077,7
14131022002,川崎区,日ノ出二丁目,139.74415,35.531786,1032,4456.45,0.14743187791442608,5
14131023001,川崎区,塩浜一丁目,139.740963,35.528522,1289,6495.85,0.21334648785923477,4
