町丁コード,区,町丁名,経度,緯度,総人口,リスク加重人口,最寄りAED距離_km,500m以内AED数
14131056002,川崎区,小田栄二丁目,139.708781,35.513671,6375,28040.49,0.12010262808007609,15
14131057001,川崎区,小田一丁目,139.698993,35.515907,2109,13499.15,0.13153002014179063,7
14131057002,川崎区,小田二丁目,139.699537,35.513514,2393,16186.99,0.12206434455392626,9
14131057003,川崎区,小田三丁目,139.703904,35.513619,1953,13597.57,0.14267149909064097,12
14131057004,川崎区,小田四丁目,139.700389,35.510739,2510,16203.72,0.15803057918407393,12
14131057005,川崎区,小田五丁目,139.705948,35.511217,2962,18872.190000000002,0.09650773615616057,8
14131057006,川崎区,小田六丁目,139.705668,35.509135,1342,9240.95,0.29118158978385683,7
14131057007,川崎区,小田七丁目,139.708588,35.509175,1420,7042.62,0.065738802348007,4
14131058001,川崎区,浅田一丁目,139.704824,35.507029,1360,9667.67,0.17415363263877187,5
14131058002,川崎区,浅田二丁目,139.702624,35.507214,1846,13006.66,0.03093392649406258,6
14131058003,川崎区,浅田三丁目,139.699955,35.507363,1605,11804.31,0.15675098194161788,7
14131058004,川崎区,浅田四丁目,139.700361,35.504524,1580,10192.28,0.15369272968276235,3
14131059000,川崎区,池上町,139.731499,35.517417,583,4499.76,0.17551416912530218,2
14131060000,川崎区,浅野町,139.725528,35.513214,0,0.0,0.2545843828443265,2
14131061000,川崎区,南渡田町,139.716417,35.508667,4,26.88,0.2703689327735844,2
14131062000,川崎区,田辺新田,139.707192,35.504775,2,48.88,0.45616346297119026,3
14131063000,川崎区,白石町,139.709411,35.500709,16,171.66,0.19552585695108252,1
14131064000,川崎区,大川町,139.712996,35.495061,0,0.0,0.05538254402428796,1
14131065000,川崎区,扇町,139.723869,35.502505,22,242.27,1.063778914312284,0
14131066000,川崎区,扇島,139.729087,35.48222,0,0.0,2.0901691244081007,0
14131067000,川崎区,水面,139.772604,35.491028,0,0.0,1.0388980260676897,0
14131101000,川崎区,駅前本町,139.69959,35.532053,404,2872.11,0.04030288400945711,32
14131102001,川崎区,砂子一丁目,139.701494,35.531708,558,3545.3,0.02991396124491333,32
14131102002,川崎区,砂子二丁目,139.700493,35.529232,1059,6903.9800000000005,0.07122386399062926,33
14131103001,川崎区,本町一丁目,139.703312,35.533309,1647,10316.97,0.10828329130148244,26
14131103002,川崎区,本町二丁目,139.705501,35.535232,3115,20728.190000000002,0.15717609838650273,8
14131104000,川崎区,堀之内町,139.706027,35.533091,1212,6712.05,0.1733004316833386,27
14131105000,川崎区,宮本町,139.704135,35.531009,1193,7228.69,0.09479180883161255,35
14131106000,川崎区,東田町,139.702623,35.528482,1344,8587.03,0.10852195625698913,36
14131107000,川崎区,日進町,139.694421,35.526129,6557,42200.47,0.13292268371132573,17
14131108000,川崎区,小川町,139.697507,35.527433,2284,12718.27,0.12882597188923653,22
14131109000,川崎区,南町,139.698971,35.525758,3337,20130.21,0.0428771192552588,14
14131110000,川崎区,堤根,139.689753,35.525401,241,1382.72,0.21885248710106023,10
14131111000,川崎区,下並木,139.689986,35.523355,3090,18441.62,0.11545198857416525,12
14131112001,川崎区,池田一丁目,139.691249,35.521433,1924,12180.0,0.09751817421607903,12
14131112002,川崎区,池田二丁目,139.69235,35.520331,1131,7489.3,0.10006675113081201,9
14131113001,川崎区,京町一丁目,139.693743,35.517839,3058,18315.31,0.013802701858814772,6
14131113002,川崎区,京町二丁目,139.695246,35.513607,3143,23154.43,0.30436254739222884,5
14131113003,川崎区,京町三丁目,139.696892,35.508879,3855,24271.37,0.11318470673720608,6
14131114000,川崎区,渡田山王町,139.696583,35.518604,1999,13048.220000000001,0.2636643958160476,7
14131115001,川崎区,元木一丁目,139.699286,35.523824,1156,6776.24,0.0960412524004276,8
14131115002,川崎区,元木二丁目,139.695988,35.522232,1018,6476.08,0.10181252138452479,13
14131116001,川崎区,渡田新町一丁目,139.700173,35.522141,762,4741.89,0.27956544348730467,9
14131116002,川崎区,渡田新町二丁目,139.699332,35.521099,1039,6241.01,0.24356992248034443,10
14131116003,川崎区,渡田新町三丁目,139.698839,35.519706,1510,10526.93,0.24182981508107854,7
14131117000,川崎区,渡田向町,139.70317,35.52173,1978,12841.41,0.13947898896661703,8
14131118001,川崎区,渡田一丁目,139.707561,35.522843,2327,14576.6,0.08732065798987272,8
14131118002,川崎区,渡田二丁目,139.706223,35.520872,1365,9010.6,0.18896897925180012,7
14131118003,川崎区,渡田三丁目,139.705155,35.518893,922,6033.45,0.18733022843235356,9
14131118004,川崎区,渡田四丁目,139.703147,35.517921,1310,7823.7,0.2106141452171364,11
14131119000,川崎区,大島上町,139.710214,35.520765,2387,15456.35,0.2160777398528462,5
14131120000,川崎区,渡田東町,139.707857,35.518216,1249,8219.89,0.11036366113395163,14
14131121001,川崎区,大島一丁目,139.71187,35.524222,2364,15490.14,0.2144785548732763,16
14131121002,川崎区,大島二丁目,139.714702,35.521453,1177,8272.6,0.1242757087869825,7
14131121003,川崎区,大島三丁目,139.718183,35.520703,2394,15699.75,0.08606183574413054,13
14131121004,川崎区,大島四丁目,139.714789,35.524337,2015,12394.67,0.052921771671534806,13
14131121005,川崎区,大島五丁目,139.718387,35.523711,2262,15117.63,0.11918617610139799,14
14131122000,川崎区,宮前町,139.705598,35.528219,1538,8892.93,0.06935986941220115,33
14131123000,川崎区,新川通,139.705161,35.526419,1021,7748.69,0.06343869008749621,27
14131124000,川崎区,境町,139.708623,35.52514,1877,11207.3,0.1939482888761927,18
14131125001,川崎区,貝塚一丁目,139.702194,35.525202,1989,11941.68,0.23783092400034034,10
14131125002,川崎区,貝塚二丁目,139.704153,35.524279,1850,10916.75,0.13189667994695192,9
14131126000,川崎区,榎町,139.706525,35.530708,2099,10689.17,0.09589278291436797,36
14131127001,川崎区,富士見一丁目,139.71087,35.531649,2302,11866.12,0.13158868656707798,18
14131127002,川崎区,富士見二丁目,139.710858,35.527809,707,3916.2200000000003,0.08476010122420605,23
14131128001,川崎区,中島一丁目,139.716497,35.53004,1016,6252.05,0.1841219925776683,10
14131128002,川崎区,中島二丁目,139.71645,35.52868,1324,9219.29,0.19963168564926723,13
14131128003,川崎区,中島三丁目,139.716258,35.526948,1573,9969.8,0.12781502036454806,16
14131129001,川崎区,旭町一丁目,139.71039,35.535094,1186,7789.67,0.2875436091499571,1
14131129002,川崎区,旭町二丁目,139.716572,35.531955,1883,12579.26,0.15713793988738248,7
14131130000,川崎区,港町,139.715941,35.535177,5592,28269.23,0.35575317391314537,2
14131131000,川崎区,鈴木町,139.722188,35.538057,0,0.0,0.3681841960235678,2
14132201001,幸区,戸手本町一丁目,139.687137,35.543219,1875,10599.82,0.0747275442464239,16
14132201002,幸区,戸手本町二丁目,139.686254,35.540008,5654,29923.15,0.1809152286201145,13
14132202000,幸区,紺屋町,139.689896,35.542462,1309,7502.58,0.01831407893576596,20
14132203000,幸区,遠藤町,139.692383,35.542365,1690,8301.58,0.12003623475935615,12
14132204000,幸区,小向東芝町,139.690258,35.55017,0,0.0,0.24062122961345486,7
14132205001,幸区,小向西町一丁目,139.691403,35.548034,1438,8357.82,0.2389624917999817,8
14132205002,幸区,小向西町二丁目,139.690943,35.546625,674,3717.36,0.21334249878263792,17
14132205003,幸区,小向西町三丁目,139.687734,35.548039,1307,7263.99,0.08890960990483349,15
14132205004,幸区,小向西町四丁目,139.687619,35.546155,2452,12905.380000000001,0.09434294975073437,21
14132206000,幸区,古市場,139.683953,35.550744,2313,15825.49,0.06350945533027355,11
14132206001,幸区,古市場一丁目,139.687048,35.55467,3840,23435.96,0.09482421596687637,3
14132206002,幸区,古市場二丁目,139.6833,35.556646,4189,25228.02,0.203340065225816,4
14132207000,幸区,東古市場,139.692542,35.553799,2759,16360.9,0.14084193760766311,2
14132209000,幸区,小向仲野町,139.696662,35.550435,2838,16098.710000000001,0.26633707155829317,3
14132210000,幸区,小向町,139.695213,35.547619,2306,15520.0,0.21344896443042466,4
14132211000,幸区,小向,139.700353,35.551055,0,0.0,0.4260052646058203,1
14132212001,幸区,戸手一丁目,139.690886,35.545185,737,4111.45,0.14003359009313163,16
14132212002,幸区,戸手二丁目,139.692832,35.545331,1236,7545.8,0.1451496616117271,12
14132212003,幸区,戸手三丁目,139.695006,35.54539,1245,6378.15,0.1319555851819248,6
14132212004,幸区,戸手四丁目,139.696395,35.54258,4932,26303.79,0.15455671492017847,7
14132213000,幸区,河原町,139.69413,35.539899,4138,36827.130000000005,0.16340508539036427,11
14132214001,幸区,中幸町一丁目,139.693138,35.537095,1673,9594.33,0.14459799302248155,10
14132214002,幸区,中幸町二丁目,139.69527,35.53717,1300,8086.97,0.16892977399862755,9
14132214003,幸区,中幸町三丁目,139.693718,35.533774,2913,18590.23,0.11467598746161427,16
14132214004,幸区,中幸町四丁目,139.692487,35.533755,2025,11414.3,0.05665509416997264,16
14132215001,幸区,幸町一丁目,139.697903,35.53498,797,4895.76,0.07403274275161939,10
14132215002,幸区,幸町二丁目,139.698903,35.537101,729,4784.37,0.22324308025563203,3
14132215003,幸区,幸町三丁目,139.697597,35.537789,1529,9399.67,0.25435327907252325,3
14132215004,幸区,幸町四丁目,139.696121,35.535562,737,4604.54,0.11616344907500806,10
14132216000,幸区,堀川町,139.698086,35.534119,1760,13409.66,0.1662524960991481,19
14132217000,幸区,柳町,139.68898,35.529211,2817,14361.62,0.2966128656862695,10
14132218000,幸区,大宮町,139.693322,35.530096,3910,26329.63,0.10864439392604851,20
14132219001,幸区,南幸町一丁目,139.689842,35.535561,1768,10083.630000000001,0.08682196521032857,11
