区,町丁名,緯度,経度,グリッド点数,カバー率,総人口_累計,カバー人口_累計,リスク加重人口_累計,カバーリスク加重人口_累計,最寄りAED距離_m,カバー外リスク加重人口
多摩区,宮前平一丁目,35.584647,139.58703,68,69.1,0,0,0,0,115,0
多摩区,宮前平二丁目,35.587983,139.581817,95,95.8,0,0,0,0,9,0
多摩区,宮前平三丁目,35.587545,139.586337,70,87.1,0,0,0,0,20,0
多摩区,小台一丁目,35.581437,139.577241,92,79.3,0,0,0,0,70,0
多摩区,小台二丁目,35.582194,139.581863,70,91.4,0,0,0,0,32,0
多摩区,土橋一丁目,35.586959,139.577417,69,100.0,0,0,0,0,21,0
多摩区,土橋二丁目,35.584936,139.575294,69,100.0,0,0,0,0,18,0
多摩区,土橋三丁目,35.582687,139.572535,79,93.7,0,0,0,0,27,0
多摩区,土橋四丁目,35.586329,139.57005,56,85.7,0,0,0,0,95,0
多摩区,土橋五丁目,35.590274,139.568038,19,100.0,0,0,0,0,4,0
多摩区,土橋六丁目,35.589123,139.571174,60,66.7,0,0,0,0,40,0
多摩区,土橋七丁目,35.590388,139.575499,63,31.7,0,0,0,0,91,0
多摩区,けやき平,35.593207,139.575394,70,40.0,0,0,0,0,52,0
多摩区,神木一丁目,35.593045,139.579718,29,75.9,0,0,0,0,97,0
多摩区,神木二丁目,35.594983,139.583791,54,64.8,0,0,0,0,142,0
多摩区,宮崎,35.594658,139.589172,22,100.0,0,0,0,0,125,0
多摩区,宮崎,35.588042,139.597276,104,93.3,0,0,0,0,30,0
多摩区,宮崎一丁目,35.58479,139.593301,58,96.6,0,0,0,0,39,0
多摩区,宮崎二丁目,35.587766,139.592051,75,100.0,0,0,0,0,25,0
多摩区,宮崎三丁目,35.591346,139.591096,83,100.0,0,0,0,0,18,0
多摩区,宮崎四丁目,35.593896,139.586878,31,80.6,0,0,0,0,118,0
多摩区,宮崎五丁目,35.59129,139.586701,53,100.0,0,0,0,0,50,0
多摩区,宮崎六丁目,35.591325,139.581316,72,100.0,0,0,0,0,69,0
多摩区,馬絹一丁目,35.581474,139.587093,102,91.2,0,0,0,0,24,0
多摩区,馬絹二丁目,35.580984,139.592012,39,97.4,0,0,0,0,99,0
多摩区,馬絹三丁目,35.579359,139.593697,51,60.8,0,0,0,0,82,0
多摩区,馬絹四丁目,35.579939,139.598887,100,78.0,0,0,0,0,41,0
多摩区,馬絹五丁目,35.583024,139.599879,48,72.9,0,0,0,0,14,0
多摩区,馬絹六丁目,35.583771,139.595628,66,97.0,0,0,0,0,135,0
多摩区,梶ケ谷,35.58076,139.605491,112,51.8,0,0,0,0,75,0
多摩区,野川,35.575305,139.603988,60,100.0,0,0,0,0,25,0
多摩区,野川,35.569462,139.604825,358,70.9,0,0,0,0,14,0
多摩区,野川,35.565168,139.604403,2,100.0,0,0,0,0,189,0
多摩区,野川本町一丁目,35.57938,139.613496,102,43.1,0,0,0,0,19,0
多摩区,野川本町二丁目,35.575419,139.614007,90,47.8,0,0,0,0,50,0
多摩区,野川本町三丁目,35.576091,139.617989,78,41.0,0,0,0,0,78,0
多摩区,西野川一丁目,35.577339,139.602758,126,60.3,0,0,0,0,33,0
多摩区,西野川二丁目,35.574318,139.608181,97,100.0,0,0,0,0,4,0
多摩区,西野川三丁目,35.571265,139.606646,123,67.5,0,0,0,0,15,0
多摩区,東有馬一丁目,35.576097,139.589287,66,34.8,0,0,0,0,164,0
多摩区,東有馬二丁目,35.575379,139.593627,111,69.4,0,0,0,0,14,0
多摩区,東有馬三丁目,35.572314,139.590844,71,98.6,0,0,0,0,27,0
多摩区,東有馬四丁目,35.569653,139.588495,74,86.5,0,0,0,0,5,0
多摩区,東有馬五丁目,35.569117,139.595087,137,67.9,0,0,0,0,21,0
多摩区,有馬一丁目,35.578211,139.578748,66,56.1,0,0,0,0,138,0
多摩区,有馬二丁目,35.578726,139.584392,50,100.0,0,0,0,0,19,0
多摩区,有馬三丁目,35.575377,139.585647,88,69.3,0,0,0,0,49,0
多摩区,有馬四丁目,35.575635,139.580273,65,56.9,0,0,0,0,33,0
多摩区,有馬五丁目,35.573196,139.581169,67,67.2,0,0,0,0,62,0
多摩区,有馬六丁目,35.57036,139.58299,69,72.5,0,0,0,0,17,0
多摩区,有馬七丁目,35.570669,139.577467,67,100.0,0,0,0,0,20,0
多摩区,有馬八丁目,35.573518,139.574514,80,43.8,0,0,0,0,179,0
多摩区,有馬九丁目,35.572502,139.570688,46,8.7,0,0,0,0,239,0
多摩区,鷺沼一丁目,35.576853,139.572969,74,90.5,0,0,0,0,19,0
多摩区,鷺沼二丁目,35.57541,139.56841,58,79.3,0,0,0,0,12,0
多摩区,鷺沼三丁目,35.579067,139.568966,76,71.1,0,0,0,0,131,0
多摩区,鷺沼四丁目,35.582204,139.568216,84,20.2,0,0,0,0,174,0
多摩区,犬蔵一丁目,35.589936,139.562101,156,92.3,0,0,0,0,17,0
多摩区,犬蔵二丁目,35.584578,139.562968,203,29.6,0,0,0,0,135,0
多摩区,犬蔵三丁目,35.58842,139.556744,77,74.0,0,0,0,0,21,0
多摩区,水沢一丁目,35.590536,139.549365,99,93.9,0,0,0,0,23,0
多摩区,水沢二丁目,35.592044,139.541734,81,28.4,0,0,0,0,146,0
多摩区,水沢三丁目,35.594178,139.543238,69,97.1,0,0,0,0,23,0
多摩区,潮見台,35.594278,139.532684,170,66.5,0,0,0,0,26,0
多摩区,菅生ケ丘,35.597221,139.542799,131,99.2,0,0,0,0,11,0
多摩区,菅生一丁目,35.599878,139.555313,97,72.2,0,0,0,0,26,0
多摩区,菅生二丁目,35.599965,139.551137,151,68.9,0,0,0,0,22,0
多摩区,菅生三丁目,35.595544,139.548392,99,97.0,0,0,0,0,8,0
多摩区,菅生四丁目,35.593324,139.552155,76,97.4,0,0,0,0,77,0
多摩区,菅生五丁目,35.593958,139.557065,75,98.7,0,0,0,0,22,0
多摩区,菅生六丁目,35.592673,139.561237,78,52.6,0,0,0,0,102,0
多摩区,初山一丁目,35.601239,139.560474,290,30.3,0,0,0,0,21,0
多摩区,初山二丁目,35.596175,139.564204,104,77.9,0,0,0,0,56,0
多摩区,白幡台一丁目,35.597266,139.568833,29,100.0,0,0,0,0,89,0
多摩区,白幡台二丁目,35.595915,139.566531,16,100.0,0,0,0,0,49,0
多摩区,南平台,35.593894,139.569969,127,90.6,0,0,0,0,23,0
多摩区,平一丁目,35.600926,139.577368,75,82.7,0,0,0,0,21,0
多摩区,平二丁目,35.601486,139.572398,103,77.7,0,0,0,0,108,0
多摩区,平三丁目,35.603034,139.56882,76,93.4,0,0,0,0,18,0
多摩区,平四丁目,35.598307,139.570682,52,65.4,0,0,0,0,79,0
多摩区,平五丁目,35.597624,139.576123,63,73.0,0,0,0,0,143,0
多摩区,平六丁目,35.59608,139.578294,49,87.8,0,0,0,0,19,0
多摩区,五所塚一丁目,35.60594,139.575269,29,6.9,0,0,0,0,285,0
多摩区,五所塚二丁目,35.604376,139.574012,31,48.4,0,0,0,0,133,0
多摩区,神木本町一丁目,35.603974,139.579538,72,59.7,0,0,0,0,73,0
多摩区,神木本町二丁目,35.603158,139.58553,129,66.7,0,0,0,0,20,0
多摩区,神木本町三丁目,35.59979,139.58556,36,91.7,0,0,0,0,96,0
多摩区,神木本町四丁目,35.597605,139.583771,57,73.7,0,0,0,0,87,0
多摩区,神木本町五丁目,35.598831,139.581104,41,100.0,0,0,0,0,23,0
麻生区,万福寺一丁目,35.604217,139.506027,54,100.0,10651,10651,77944,77944,84,0
麻生区,万福寺二丁目,35.60551,139.511326,39,82.1,9873,8100,70151,57559,127,12592
麻生区,万福寺三丁目,35.606702,139.508703,34,97.1,24315,23599,180655,175342,164,5313
麻生区,万福寺四丁目,35.608484,139.508421,57,84.2,26140,22012,194017,163382,44,30635
麻生区,万福寺五丁目,35.607549,139.503195,47,95.7,9812,9394,69879,66905,74,2974
麻生区,万福寺六丁目,35.605965,139.504318,21,100.0,13511,13511,99279,99279,214,0
麻生区,金程一丁目,35.608608,139.501405,51,52.9,14523,7688,126455,66947,228,59508
麻生区,金程二丁目,35.61052,139.499736,39,100.0,7242,7242,58816,58816,17,0
麻生区,金程三丁目,35.613155,139.497963,52,100.0,6267,6267,55023,55023,61,0
麻生区,金程四丁目,35.613747,139.50186,54,88.9,8473,7531,74377,66113,63,8264
麻生区,向原一丁目,35.616126,139.500074,31,83.9,6978,5852,58138,48761,121,9377
麻生区,向原二丁目,35.616133,139.496816,59,11.9,14868,1764,121383,14401,255,106982
麻生区,向原三丁目,35.619407,139.50087,52,30.8,9754,3001,80335,24718,106,55617
麻生区,細山,35.621625,139.505717,87,11.5,544,62,6528,750,164,5778
麻生区,細山一丁目,35.618764,139.519614,24,75.0,6511,4883,58446,43835,92,14611
麻生区,細山二丁目,35.616286,139.517174,28,75.0,7945,5958,59310,44482,8,14828
麻生区,細山三丁目,35.616666,139.513418,39,43.6,7863,3427,68558,29884,124,38674
麻生区,細山四丁目,35.619998,139.513522,63,0.0,14304,0,106028,0,318,106028
麻生区,細山五丁目,35.619081,139.51671,49,40.8,14868,6068,114053,46552,131,67501
麻生区,細山六丁目,35.621776,139.517817,28,0.0,5481,0,39043,0,420,39043
麻生区,細山七丁目,35.623324,139.513776,48,0.0,7598,0,61087,0,647,61087
麻生区,細山八丁目,35.621007,139.510258,39,0.0,9790,0,76280,0,335,76280
麻生区,千代ケ丘一丁目,35.610226,139.508559,35,68.6,9719,6664,77627,53230,25,24397
麻生区,千代ケ丘二丁目,35.613539,139.511728,26,69.2,9957,6893,70848,49048,150,21800
麻生区,千代ケ丘三丁目,35.612674,139.508172,36,86.1,9863,8493,81035,69780,44,11255
麻生区,千代ケ丘四丁目,35.61173,139.50507,47,80.9,13556,10960,111649,90270,116,21379
麻生区,千代ケ丘五丁目,35.614516,139.506971,37,100.0,7612,7612,57245,57245,25,0
麻生区,千代ケ丘六丁目,35.61616,139.510258,45,100.0,8112,8112,70985,70985,13,0
麻生区,千代ケ丘七丁目,35.616295,139.50553,42,85.7,11561,9909,98371,84318,66,14053
麻生区,千代ケ丘八丁目,35.618559,139.505278,46,56.5,9456,5344,76588,43289,23,33299
麻生区,千代ケ丘九丁目,35.619177,139.508867,37,8.1,6045,490,52410,4249,282,48161
麻生区,多摩美一丁目,35.617909,139.523513,59,23.7,13253,3144,110987,26336,188,84651
麻生区,多摩美二丁目,35.620138,139.521752,38,5.3,8216,432,77125,4059,280,73066
麻生区,高石一丁目,35.610319,139.514983,67,97.0,23611,22906,176998,171715,44,5283
麻生区,高石二丁目,35.613189,139.514684,83,56.6,24061,13624,198235,112253,140,85982
麻生区,高石三丁目,35.613814,139.52022,99,76.8,32182,24705,249951,191882,79,58069
麻生区,高石四丁目,35.609865,139.52174,82,41.5,35447,14697,310242,128637,56,181605
麻生区,高石五丁目,35.605239,139.521927,63,7.9,16465,1306,146480,11625,271,134855
麻生区,高石六丁目,35.602201,139.522668,55,18.2,17212,3129,136914,24893,200,112021
麻生区,百合丘一丁目,35.607261,139.517427,91,100.0,31838,31838,247767,247767,30,0
麻生区,百合丘二丁目,35.604705,139.514499,69,100.0,27459,27459,213459,213459,3,0
麻生区,百合丘三丁目,35.60217,139.51886,67,74.6,31077,23191,241063,179897,85,61166
麻生区,東百合丘一丁目,35.601587,139.527696,76,19.7,23172,4573,194337,38356,176,155981
麻生区,東百合丘二丁目,35.598566,139.52728,66,89.4,13843,12374,126278,112884,24,13394
麻生区,東百合丘三丁目,35.595334,139.526591,71,94.4,13631,12863,131163,123774,55,7389
麻生区,東百合丘四丁目,35.597857,139.522598,90,98.9,18706,18498,162798,160989,7,1809
麻生区,王禅寺西一丁目,35.599475,139.514397,71,94.4,21140,19949,165548,156221,24,9327
麻生区,王禅寺西二丁目,35.598541,139.518028,46,76.1,8875,6752,86548,65851,62,20697
麻生区,王禅寺西三丁目,35.595654,139.515053,84,6.0,16781,998,151248,9002,252,142246
麻生区,王禅寺西四丁目,35.594099,139.511614,49,22.4,6680,1499,49534,11119,186,38415
麻生区,王禅寺西五丁目,35.592554,139.507486,34,64.7,10152,6568,80460,52062,88,28398
麻生区,王禅寺西六丁目,35.590934,139.504363,53,86.8,11786,10229,102418,88891,77,13527
麻生区,王禅寺西七丁目,35.586889,139.505091,69,55.1,14860,8183,126099,69446,63,56653
麻生区,王禅寺西八丁目,35.584427,139.503587,55,50.9,10484,5337,91704,46685,125,45019
麻生区,王禅寺東一丁目,35.593979,139.520939,63,74.6,9363,6985,89034,66422,116,22612
麻生区,王禅寺東二丁目,35.591536,139.51802,104,28.8,17529,5056,167047,48186,120,118861
麻生区,王禅寺東三丁目,35.586978,139.517766,120,65.8,20005,13169,194527,128063,75,66464
麻生区,王禅寺東四丁目,35.587183,139.512171,85,98.8,9252,9143,93035,91941,13,1094
麻生区,王禅寺東五丁目,35.582129,139.51348,134,79.1,20550,16255,190724,150871,13,39853
麻生区,王禅寺東六丁目,35.578215,139.511811,38,84.2,12045,10143,96250,81052,19,15198
麻生区,王禅寺,35.58409,139.522489,326,42.0,8008,3365,60608,25470,14,35138
麻生区,王禅寺,35.592702,139.524999,22,100.0,8008,8008,60608,60608,13,0
麻生区,王禅寺,35.590877,139.523726,41,97.6,8008,7812,60608,59130,30,1478
麻生区,白山一丁目,35.590061,139.513288,25,100.0,5694,5694,72772,72772,13,0
麻生区,白山二丁目,35.591966,139.512203,20,80.0,3768,3014,40885,32708,166,8177
麻生区,白山三丁目,35.59357,139.509104,12,25.0,2268,567,24667,6166,256,18501
麻生区,白山四丁目,35.590357,139.510101,51,100.0,11750,11750,142909,142909,21,0
麻生区,白山五丁目,35.588339,139.507815,47,83.0,12912,10714,164759,136715,19,28044
麻生区,虹ケ丘一丁目,35.580664,139.521016,61,93.4,7714,7208,80540,75259,9,5281
麻生区,虹ケ丘二丁目,35.580299,139.524556,39,23.1,15803,3646,197364,45545,198,151819
麻生区,虹ケ丘三丁目,35.577225,139.523548,27,37.0,6562,2430,84929,31455,121,53474
麻生区,早野,35.573461,139.517216,366,36.1,5516,1989,51550,18592,22,32958
麻生区,下麻生一丁目,35.581201,139.505216,63,52.4,16015,8388,165250,86559,84,78691
麻生区,下麻生二丁目,35.580833,139.509158,91,89.0,17054,15179,154041,137113,81,16928
麻生区,下麻生三丁目,35.575575,139.507984,111,3.6,14469,521,140725,5071,267,135654
麻生区,下麻生,35.572509,139.51183,4,0.0,0,0,0,0,626,0
麻生区,上麻生一丁目,35.601934,139.508525,54,100.0,6791,6791,44818,44818,17,0
麻生区,上麻生二丁目,35.599889,139.510838,103,89.3,17727,15833,170043,151883,95,18160
麻生区,上麻生三丁目,35.600127,139.503765,130,100.0,37034,37034,300566,300566,5,0
麻生区,上麻生四丁目,35.595704,139.504443,139,85.6,34241,29314,269305,230556,24,38749
麻生区,上麻生五丁目,35.590535,139.500277,138,64.5,42367,27323,306999,197992,62,109007
麻生区,上麻生六丁目,35.585955,139.496523,157,100.0,23375,23375,175894,175894,16,0
麻生区,上麻生七丁目,35.581032,139.501592,122,79.5,26012,20681,219483,174507,21,44976
麻生区,上麻生,35.578275,139.505953,1,0.0,1000,0,9310,0,447,9310
麻生区,上麻生,35.579262,139.507214,1,100.0,1000,1000,9310,9310,297,0
麻生区,古沢,35.603638,139.497314,151,42.4,3925,1663,33313,14119,21,19194
麻生区,五力田一丁目,35.598084,139.495165,33,81.8,6610,5408,62085,50797,108,11288
麻生区,五力田二丁目,35.599859,139.491345,35,100.0,11369,11369,100068,100068,29,0
麻生区,五力田三丁目,35.600555,139.495648,50,62.0,10284,6376,71897,44576,142,27321
麻生区,五力田,35.602906,139.491533,64,25.0,1474,368,9506,2376,171,7130
麻生区,片平,35.597772,139.482645,253,15.0,4731,710,45751,6871,113,38880
麻生区,片平一丁目,35.597651,139.498429,75,56.0,17150,9604,133479,74748,22,58731
麻生区,片平二丁目,35.593618,139.495891,97,49.5,18730,9268,147396,72938,122,74458
麻生区,片平三丁目,35.590541,139.492713,70,61.4,16239,9975,127427,78277,15,49150
麻生区,片平四丁目,35.592608,139.48937,80,6.2,27209,1700,198734,12420,223,186314
麻生区,片平五丁目,35.597319,139.491002,87,100.0,18855,18855,147321,147321,14,0
麻生区,片平六丁目,35.596181,139.489216,17,82.4,6883,5668,44742,36847,172,7895
麻生区,片平七丁目,35.598735,139.485785,16,100.0,6249,6249,38877,38877,20,0
麻生区,片平八丁目,35.601557,139.482433,17,29.4,3382,994,20574,6051,216,14523
麻生区,栗木,35.60173,139.475973,75,4.0,1477,59,13503,540,209,12963
麻生区,栗木一丁目,35.60511,139.474368,53,0.0,10405,0,80613,0,300,80613
麻生区,栗木二丁目,35.607867,139.469377,81,35.8,0,0,0,0,73,0
麻生区,栗木三丁目,35.603925,139.471753,67,0.0,2849,0,15062,0,439,15062
麻生区,白鳥一丁目,35.601313,139.487196,67,100.0,14380,14380,115731,115731,27,0
麻生区,白鳥二丁目,35.602827,139.483835,37,62.2,7706,4790,65946,40993,129,24953
麻生区,白鳥三丁目,35.605455,139.48386,45,48.9,15552,7603,124422,60828,105,63594
麻生区,白鳥四丁目,35.606339,139.486429,71,2.8,24948,702,187000,5267,284,181733
麻生区,栗平一丁目,35.604869,139.480595,28,85.7,8517,7300,73349,62871,67,10478
麻生区,栗平二丁目,35.608341,139.480946,61,67.2,20421,13725,146949,98769,33,48180
麻生区,栗木台一丁目,35.606717,139.476356,56,42.9,14213,6091,92185,39508,169,52677
麻生区,栗木台二丁目,35.609995,139.472622,41,82.9,7698,6383,54587,45267,55,9320
麻生区,栗木台三丁目,35.611265,139.474306,40,97.5,8021,7820,63011,61436,26,1575
麻生区,栗木台四丁目,35.609084,139.477659,32,96.9,7683,7442,66989,64896,62,2093
麻生区,栗木台五丁目,35.61196,139.477516,57,94.7,8435,7991,74183,70279,121,3904
麻生区,黒川,35.613078,139.461727,804,21.1,35353,7475,239711,50685,21,189026
麻生区,南黒川,35.613703,139.4714,30,100.0,2478,2478,21357,21357,138,0
麻生区,岡上,35.577119,139.480296,576,27.4,63076,17302,519765,142574,17,377191
麻生区,はるひ野一丁目,35.616995,139.468322,43,100.0,19853,19853,140642,140642,41,0
麻生区,はるひ野二丁目,35.615675,139.464948,51,88.2,14910,13155,105323,92932,14,12391
麻生区,はるひ野三丁目,35.617988,139.458806,67,68.7,15578,10695,101790,69886,123,31904
麻生区,はるひ野四丁目,35.618888,139.462131,70,92.9,19622,18220,124725,115816,21,8909
麻生区,はるひ野五丁目,35.621556,139.463921,86,30.2,12792,3867,76202,23038,24,53164
