町丁コード,区,町丁名,経度,緯度,総人口_累計,リスク加重人口_累計,最寄りAED距離_km,500m以内AED数
14131056002,川崎区,小田栄二丁目,139.708781,35.513671,59151,285309.56,0.12010262808007609,15
14131057001,川崎区,小田一丁目,139.698993,35.515907,20533,138585.87,0.13153002014179063,7
14131057002,川崎区,小田二丁目,139.699537,35.513514,23364,160856.62,0.12206434455392626,9
14131057003,川崎区,小田三丁目,139.703904,35.513619,19097,134869.6,0.14267149909064097,12
14131057004,川崎区,小田四丁目,139.700389,35.510739,24490,161460.19,0.15803057918407393,12
14131057005,川崎区,小田五丁目,139.705948,35.511217,28688,182470.75,0.09650773615616057,8
14131057006,川崎区,小田六丁目,139.705668,35.509135,13105,91158.6,0.29118158978385683,7
14131057007,川崎区,小田七丁目,139.708588,35.509175,13944,67280.55,0.065738802348007,4
14131058001,川崎区,浅田一丁目,139.704824,35.507029,13104,90432.29000000001,0.17415363263877187,5
14131058002,川崎区,浅田二丁目,139.702624,35.507214,18089,129582.58,0.03093392649406258,6
14131058003,川崎区,浅田三丁目,139.699955,35.507363,15797,116654.34,0.15675098194161788,7
14131058004,川崎区,浅田四丁目,139.700361,35.504524,15310,100714.82,0.15369272968276235,3
14131059000,川崎区,池上町,139.731499,35.517417,5703,42469.64,0.17551416912530218,2
14131060000,川崎区,浅野町,139.725528,35.513214,3,17.82,0.2545843828443265,2
14131061000,川崎区,南渡田町,139.716417,35.508667,34,198.78,0.2703689327735844,2
14131062000,川崎区,田辺新田,139.707192,35.504775,17,277.83,0.45616346297119026,3
14131063000,川崎区,白石町,139.709411,35.500709,173,1482.04,0.19552585695108252,1
14131064000,川崎区,大川町,139.712996,35.495061,1,5.6,0.05538254402428796,1
14131065000,川崎区,扇町,139.723869,35.502505,250,3010.96,1.063778914312284,0
14131066000,川崎区,扇島,139.729087,35.48222,0,0.0,2.0901691244081007,0
14131067000,川崎区,水面,139.772604,35.491028,0,0.0,1.0388980260676897,0
14131101000,川崎区,駅前本町,139.69959,35.532053,3884,26803.45,0.04030288400945711,32
14131102001,川崎区,砂子一丁目,139.701494,35.531708,5332,35901.4,0.02991396124491333,32
14131102002,川崎区,砂子二丁目,139.700493,35.529232,9974,66805.06,0.07122386399062926,33
14131103001,川崎区,本町一丁目,139.703312,35.533309,15896,106010.19,0.10828329130148244,26
14131103002,川崎区,本町二丁目,139.705501,35.535232,29863,198509.94,0.15717609838650273,8
14131104000,川崎区,堀之内町,139.706027,35.533091,11862,71978.82,0.1733004316833386,27
14131105000,川崎区,宮本町,139.704135,35.531009,11386,71981.67,0.09479180883161255,35
14131106000,川崎区,東田町,139.702623,35.528482,12949,82915.11,0.10852195625698913,36
14131107000,川崎区,日進町,139.694421,35.526129,64080,427343.56,0.13292268371132573,17
14131108000,川崎区,小川町,139.697507,35.527433,21938,131406.97,0.12882597188923653,22
14131109000,川崎区,南町,139.698971,35.525758,32435,201993.76,0.0428771192552588,14
14131110000,川崎区,堤根,139.689753,35.525401,2331,14934.42,0.21885248710106023,10
14131111000,川崎区,下並木,139.689986,35.523355,29316,178949.6,0.11545198857416525,12
14131112001,川崎区,池田一丁目,139.691249,35.521433,18710,123603.68,0.09751817421607903,12
14131112002,川崎区,池田二丁目,139.69235,35.520331,10863,71863.88,0.10006675113081201,9
14131113001,川崎区,京町一丁目,139.693743,35.517839,29606,179142.09,0.013802701858814772,6
14131113002,川崎区,京町二丁目,139.695246,35.513607,30662,218004.93,0.30436254739222884,5
14131113003,川崎区,京町三丁目,139.696892,35.508879,37057,241440.95,0.11318470673720608,6
14131114000,川崎区,渡田山王町,139.696583,35.518604,19596,132745.1,0.2636643958160476,7
