西暦,町丁コード,都道府県,市区町村,行政区,町丁名,X_CODE,Y_CODE,性別,年齢5歳階級,将来推計人口
2060,14131001002,神奈川県,川崎市,川崎区,中瀬二丁目,139.727781,35.537671,男,45～49歳,60
2060,14131001002,神奈川県,川崎市,川崎区,中瀬二丁目,139.727781,35.537671,男,50～54歳,84
2060,14131001002,神奈川県,川崎市,川崎区,中瀬二丁目,139.727781,35.537671,男,55～59歳,117
2060,14131001002,神奈川県,川崎市,川崎区,中瀬二丁目,139.727781,35.537671,男,60～64歳,77
2060,14131001002,神奈川県,川崎市,川崎区,中瀬二丁目,139.727781,35.537671,男,65～69歳,56
2060,14131001002,神奈川県,川崎市,川崎区,中瀬二丁目,139.727781,35.537671,男,70～74歳,47
2060,14131001002,神奈川県,川崎市,川崎区,中瀬二丁目,139.727781,35.537671,男,75～79歳,43
2060,14131001002,神奈川県,川崎市,川崎区,中瀬二丁目,139.727781,35.537671,男,80～84歳,44
2060,14131001002,神奈川県,川崎市,川崎区,中瀬二丁目,139.727781,35.537671,男,85～89歳,46
2060,14131001002,神奈川県,川崎市,川崎区,中瀬二丁目,139.727781,35.537671,男,90～94歳,15
2060,14131001002,神奈川県,川崎市,川崎区,中瀬二丁目,139.727781,35.537671,男,95～99歳,4
2060,14131001002,神奈川県,川崎市,川崎区,中瀬二丁目,139.727781,35.537671,男,100歳以上,0
2060,14131001002,神奈川県,川崎市,川崎区,中瀬二丁目,139.727781,35.537671,女,0～4歳,17
2060,14131001002,神奈川県,川崎市,川崎区,中瀬二丁目,139.727781,35.537671,女,5～9歳,16
2060,14131001002,神奈川県,川崎市,川崎区,中瀬二丁目,139.727781,35.537671,女,10～14歳,19
2060,14131001002,神奈川県,川崎市,川崎区,中瀬二丁目,139.727781,35.537671,女,15～19歳,26
2060,14131001002,神奈川県,川崎市,川崎区,中瀬二丁目,139.727781,35.537671,女,20～24歳,42
2060,14131001002,神奈川県,川崎市,川崎区,中瀬二丁目,139.727781,35.537671,女,25～29歳,46
2060,14131001002,神奈川県,川崎市,川崎区,中瀬二丁目,139.727781,35.537671,女,30～34歳,39
2060,14131001002,神奈川県,川崎市,川崎区,中瀬二丁目,139.727781,35.537671,女,35～39歳,30
2060,14131001002,神奈川県,川崎市,川崎区,中瀬二丁目,139.727781,35.537671,女,40～44歳,32
2060,14131001002,神奈川県,川崎市,川崎区,中瀬二丁目,139.727781,35.537671,女,45～49歳,40
2060,14131001002,神奈川県,川崎市,川崎区,中瀬二丁目,139.727781,35.537671,女,50～54歳,59
2060,14131001002,神奈川県,川崎市,川崎区,中瀬二丁目,139.727781,35.537671,女,55～59歳,80
2060,14131001002,神奈川県,川崎市,川崎区,中瀬二丁目,139.727781,35.537671,女,60～64歳,51
2060,14131001002,神奈川県,川崎市,川崎区,中瀬二丁目,139.727781,35.537671,女,65～69歳,36
2060,14131001002,神奈川県,川崎市,川崎区,中瀬二丁目,139.727781,35.537671,女,70～74歳,35
2060,14131001002,神奈川県,川崎市,川崎区,中瀬二丁目,139.727781,35.537671,女,75～79歳,39
2060,14131001002,神奈川県,川崎市,川崎区,中瀬二丁目,139.727781,35.537671,女,80～84歳,47
2060,14131001002,神奈川県,川崎市,川崎区,中瀬二丁目,139.727781,35.537671,女,85～89歳,57
