町丁コード,区,町丁名,緯度,経度,総人口,高齢化率,後期高齢化率,高齢者人口,最寄りAED距離_km,最寄りAED名,500m以内AED数,1km以内AED数,高齢化率_norm,距離_norm,人口_norm,リスクスコア
10034,川崎区,堀之内町,35.5330643,139.7060619,1439,11.327,5.49,163,0.17129774007941123,小池酸素工業株式会社　京浜支店,28,56,11.327,14.36617819755015,5.473091268935069,10.78649865970058
10035,川崎区,本町１丁目,35.542389,139.6865191,2141,9.622,4.671,206,0.035879921385973394,幸高等学校（商業高校）,16,37,9.622,2.9790690406984828,8.144934155438836,6.521707862911043
10036,川崎区,本町２丁目,35.5359385,139.7085421,3750,14.533,7.173,545,0.15917562073706654,セブン‐イレブン　川崎本町２丁目店,1,42,14.533,13.346844866859373,14.268858948009438,13.979295631146579
10037,川崎区,港町,35.5732659,139.4840407,4768,9.732,4.279,464,0.6453897100068444,岡上小学校,0,4,9.732,54.23195852127446,18.143411737839692,30.05540692986169
10038,川崎区,南町,35.525717,139.6989984,3942,11.213,5.378,442,0.037692016762143676,川崎消防署・消防局総合庁舎（川崎消防署）,14,82,11.213,3.1314457962109175,14.999619395600213,9.116364137164432
10039,川崎区,宮前町,35.5281942,139.7056517,1673,21.458,13.03,359,0.06941737166132823,宮前小学校,33,72,21.458,5.799189840255098,6.363705564436326,10.666187605432937
10040,川崎区,宮本町,35.5308328,139.7030423,1329,11.136,5.342,148,0.009801020156540273,川崎市役所本庁舎,34,70,11.136,0.7861279797988023,5.054426429169522,5.171579120670377
10041,川崎区,元木１丁目,35.5237542,139.6993407,1166,20.583,12.35,240,0.10182008859088154,セブン‐イレブン　川崎元木１丁目店,8,76,20.583,8.523892380994436,4.434041257516936,10.914669329652856
10042,川崎区,元木２丁目,35.5222124,139.6960813,1149,23.76,13.49,273,0.0939022212602293,セブン‐イレブン　川崎元木２丁目店,11,38,23.76,7.858089162086318,4.36933850955317,11.58203721770048
10043,川崎区,渡田１丁目,35.5227965,139.7076546,2456,24.226,13.721,595,0.07769432117481698,渡田こども文化センター,7,66,24.226,6.4951878153015965,9.343838014767451,12.669026530550873
10044,川崎区,渡田２丁目,35.5208523,139.7062624,1585,26.751,15.71,424,0.19180266578712538,セブン‐イレブン　川崎渡田３丁目店,7,54,26.751,16.090410868993924,6.028773692623886,16.270096455384735
10045,川崎区,渡田３丁目,35.5188516,139.7052074,1026,26.121,14.717,268,0.19359285785549737,セブン‐イレブン　川崎渡田３丁目店,9,42,26.121,16.240945803694284,3.9011950978153305,15.503036850822312
10046,川崎区,渡田４丁目,35.5178891,139.7031789,1389,25.342,15.695,352,0.20644262201209426,渡田老人いこいの家,11,38,25.342,17.3214658453161,5.2827890690416375,16.11602305883893
10047,川崎区,渡田山王町,35.5177264,139.6969965,2232,24.597,14.785,549,0.3052175470617906,セブン‐イレブン　川崎京町１丁目店,7,35,24.597,25.627321487895866,8.49128415924488,20.177413842931813
10048,川崎区,渡田新町１丁目,35.5221138,139.7002162,861,29.036,17.654,250,0.2815875393020199,セブン‐イレブン　川崎市電通り店,9,61,29.036,23.64030471023749,3.2731978381670093,19.1488812355451
10049,川崎区,渡田新町２丁目,35.5210254,139.6994309,1033,21.878,13.359,226,0.231521137534644,セブン‐イレブン　川崎市電通り店,10,48,21.878,19.430285766522758,3.9278374058004113,15.513865528349225
10050,川崎区,渡田新町３丁目,35.5196535,139.6989278,1866,25.188,15.863,470,0.23416405832347006,セブン‐イレブン　川崎市電通り店,7,43,25.188,19.652525555980635,7.0982720560249675,17.54689183919974
10051,川崎区,渡田東町,35.5181513,139.7078908,1415,27.562,14.629,390,0.10763357595893001,セブン‐イレブン　川崎渡田東店,14,40,27.562000000000005,9.012741011703875,5.381746212986222,13.488220268577418
10052,川崎区,渡田向町,35.5216799,139.7032513,2297,24.902,13.67,572,0.1356937522036865,渡田中学校,8,59,24.902,11.372284925070883,8.73867701910634,14.641117075760254
