町丁コード,区,町丁名,緯度,経度,総人口,人口,リスク加重人口,高齢者人口,高齢者リスク加重人口,リスク加重高齢化率,最寄りAED距離_km,500m以内AED数,リスク加重人口_norm,距離_norm,リスク加重スコア
11033,川崎区,殿町２丁目,35.5401004,139.7476991,1271,1271,3804.999,240,2413.7889999999998,63.43730970757153,0.2257907690350407,6,6.409870617106623,18.979236359866608,11.437616914210619
11034,川崎区,殿町３丁目,35.5318437,139.7687813,1006,1006,2365.716,147,1448.894,61.24547494289255,1.1896725703490192,0,3.9852660872759786,100.0,42.39115965236559
11036,川崎区,中瀬２丁目,35.5376368,139.7278335,2143,2143,8418.397,623,6271.128,74.49313687629603,0.1684576629576604,2,14.18156366754329,14.160002269215912,14.172939108212338
11037,川崎区,中瀬３丁目,35.5391729,139.7320721,5233,5233,12310.013,698,6653.592,54.05024348877616,0.4061466279806957,3,20.737348584033942,34.139362216407385,26.09815403698332
11038,川崎区,東扇島,35.49719,139.753955,6,6,17.956,1,5.778,32.17865894408554,0.5031077341511556,0,0.030248532733061564,42.28959687652182,16.933987870248565
11039,川崎区,東門前１丁目,35.5355198,139.7333703,1151,1151,3266.776,218,2167.346,66.34510600053386,0.20336017005114773,8,5.503184493627752,17.093793294022667,10.139428013785718
11040,川崎区,東門前２丁目,35.5333941,139.7346956,539,539,1887.437,140,1393.558,73.83335178869547,0.07479011409163748,12,3.1795611425758254,6.2866133048437005,4.422382007482976
11041,川崎区,東門前３丁目,35.5355198,139.7365255,2046,2046,5474.244,371,3622.015,66.16466127560263,0.13343799115638408,12,9.221867276830356,11.216362760825596,10.019665470428453
11042,川崎区,日ノ出１丁目,35.5317845,139.7417848,1099,1099,3323.542,222,2300.452,69.216877656428,0.1785941190429913,7,5.598812039246208,15.012039740530994,9.364103119760124
11043,川崎区,日ノ出２丁目,35.5317597,139.7442016,973,973,2845.896,176,1790.453,62.913507731835594,0.14601388547464986,5,4.794173441239083,12.273451461675137,7.785884649413505
11044,川崎区,藤崎１丁目,35.5293318,139.7210407,2706,2706,10514.538,808,8180.915,77.80574857402198,0.06383119652324018,8,17.7127058847193,5.365442401056096,12.773800491254018
11045,川崎区,藤崎２丁目,35.5266851,139.7207566,1959,1959,7055.609,514,5113.137,72.46910932847894,0.10618384551030118,10,11.885821997559802,8.925468078931129,10.701680430108333
11046,川崎区,藤崎３丁目,35.5278092,139.7241752,2380,2380,9001.664,700,6922.267,76.89985984813474,0.2275027142130805,7,15.164130550012361,19.123136893568713,16.747733087434902
11047,川崎区,藤崎４丁目,35.5243892,139.7221908,3636,3636,13420.342999999999,986,9659.585,71.97718418970365,0.08747105694918393,11,22.60780154401947,7.352532043629633,16.505693743863535
11049,川崎区,夜光１丁目,35.5282412,139.7534879,96,96,444.33799999999997,43,327.562,73.71910572582135,0.39780273302730706,3,0.7485282099322292,33.43800159321165,13.824317563244
11050,川崎区,夜光２丁目,35.5239679,139.7450469,2,2,20.0,2,20.0,100.0,0.2574993082234071,5,0.033691838642305155,21.64455284934942,8.67803624292515
11052,川崎区,四谷上町,35.5296902,139.7038971,5231,5231,17364.625,1248,12268.287,70.65103335084979,0.003022594597393948,38,29.252307179206905,0.25406945345534837,17.65301208890628
11053,川崎区,四谷下町,35.5296902,139.7038971,1466,1466,4573.258,300,3032.889,66.3179072774814,0.003022594597393948,38,7.704073530281559,0.25406945345534837,4.724071899551075
12001,川崎区,浅田１丁目,35.5069604,139.7049012,1413,1413,5234.85,387,3676.466,70.23058922414204,0.1814006054525386,5,8.818586075833556,15.247943843852799,11.390329183041253
12002,川崎区,浅田２丁目,35.5071935,139.702693,2178,2178,8135.245,624,6163.1359999999995,75.75845595307824,0.02461228378402863,6,13.704568092780988,2.0688283816452135,9.050272208326678
12003,川崎区,浅田３丁目,35.5073101,139.7000413,1990,1990,8059.324,623,6230.25,77.30487073109357,0.1566430065885547,7,13.576672188702865,13.166900750060975,13.41276361324611
12004,川崎区,浅田４丁目,35.5044642,139.7004538,1820,1820,5738.464,410,4096.682,71.38987018128893,0.14512359653817278,3,9.66697015713385,12.198616674468443,10.679628764067687
12005,川崎区,浅野町,35.5130508,139.7258586,6,6,27.689999999999998,3,25.555999999999997,92.29324665944384,0.27315845419178525,2,0.04664635060027148,22.96080963786932,9.212311665507892
12006,川崎区,池上町,35.517079,139.7316229,743,743,2605.319,195,1834.01,70.39483456728331,0.17191390965278064,2,4.388899367986591,14.450523105054488,8.41354886281375
12007,川崎区,追分町,35.5193105,139.7147033,2569,2569,8634.672,636,5935.6050000000005,68.74152255001695,0.17046452125834713,9,14.545898787661518,14.328692239103843,14.459016168238449
12008,川崎区,大川町,35.4952181,139.7147839,1,1,4.222,0,0.0,0.0,0.18444727076747844,1,0.0071123471373906195,15.504036603396376,6.2058820496409846
12010,川崎区,扇町,35.5009918,139.7228338,42,42,311.245,30,290.444,93.31684043117158,1.023716990614578,0,0.5243208159112134,86.05031469408813,34.734718367181976
12011,川崎区,小田２丁目,35.5134504,139.6996067,2817,2817,9561.89,702,6930.026,72.47548340338574,0.1230532247855718,9,16.107882749773562,10.343453135972629,13.802110904253189
12012,川崎区,小田３丁目,35.513581,139.7039782,2293,2293,8613.476,679,6649.597,77.19992486192565,0.1504500297359179,11,14.5101921770684,12.646339294162237,13.764651023905936
12013,川崎区,小田４丁目,35.5106869,139.7004407,2829,2829,9338.594000000001,689,6763.811,72.42857971981648,0.1519377429912144,12,15.731720109699953,12.771391623044634,14.547588715037826
12014,川崎区,小田５丁目,35.5111699,139.7060068,3056,3056,10166.219000000001,755,7234.706,71.16417617995441,0.09377838638589688,8,17.125930507516845,7.882705605155267,13.428640546572213
12015,川崎区,小田６丁目,35.5090872,139.7057322,1473,1473,5364.548,411,3982.245,74.23262873218769,0.29019427643212375,7,9.037074280245042,24.392785348239833,15.179358707442958
12016,川崎区,小田７丁目,35.5090819,139.7086656,962,962,2567.756,158,1390.8999999999999,54.167919381748106,0.053442928872850945,4,4.325621041240545,4.492238470049971,4.392268012764315
12017,川崎区,小田栄１丁目,35.5160531,139.7045119,1542,1542,6028.781,478,4705.139,78.0446163163001,0.12946324095728487,14,10.156035833089755,10.882258209862206,10.446524783798735
12018,川崎区,小田栄２丁目,35.51359,139.7088293,5020,5020,9937.380000000001,472,4636.923,46.66142383606141,0.12411520821373463,14,16.74043017436352,10.432720002724988,14.217346105708108
12019,川崎区,鋼管通１丁目,35.5177706,139.7128273,2143,2143,7470.59,562,5497.807,73.59267474188785,0.07364742666113212,14,12.584895642140923,6.190562722609118,10.0271624743282
12020,川崎区,鋼管通２丁目,35.5162635,139.7153502,1388,1388,4845.95,355,3506.685,72.3632105159979,0.2126216640196609,14,8.163448273433932,17.872284300652844,12.046982684321497
12021,川崎区,鋼管通３丁目,35.5139562,139.7136322,1231,1231,4274.324,302,3004.674,70.29588772400034,0.0995634469459121,15,7.200491725646615,8.368978946593915,7.667886614025535
12022,川崎区,鋼管通４丁目,35.5116173,139.7124081,843,843,2728.207,185,1825.116,66.8980029741145,0.053375493535325315,14,4.595915501340371,4.486570075299485,4.5521773309240166
12023,川崎区,鋼管通５丁目,35.5107562,139.7142699,42,42,321.045,29,291.779,90.88414396735661,0.1825877393924648,7,0.5408298168459429,15.347730454850975,6.463590072047956
12024,川崎区,桜本１丁目,35.5192136,139.7229601,2768,2768,9631.064,724,7150.692,74.24612690768123,0.03968751396241596,8,16.224412712085705,3.336003111408433,11.069048871814797
12025,川崎区,桜本２丁目,35.5216793,139.7255724,3598,3598,14141.904,1112,10963.155999999999,77.52248919240293,0.2148710557643523,8,23.82333738314849,18.061360841606586,21.518546766531728
12026,川崎区,白石町,35.6080726,139.5159181,21,21,55.379000000000005,5,39.111999999999995,70.62604958558296,0.055195524164591996,5,0.09329101660861086,4.639555919861131,1.911796977909619
12027,川崎区,田島町,35.5318437,139.7687813,2056,2056,7994.327,600,6117.563999999999,76.5238149502766,1.1896725703490192,0,13.467178766891172,100.0,48.0803072601347
12028,川崎区,田辺新田,35.5047259,139.7072352,3,3,19.778,2,15.556,78.65304884214784,0.4600191940109778,3,0.03331785923337557,38.6677145860411,15.487076549956466
12029,川崎区,浜町１丁目,35.5170804,139.7173185,1951,1951,6990.557,529,5217.364,74.63445330608133,0.028609564587056102,9,11.77623592319184,2.4048267817642293,8.027672266620796
12030,川崎区,浜町２丁目,35.5141242,139.7159594,2353,2353,8057.456,608,5870.922,72.8632213443052,0.0305441769624656,16,13.573525370973677,2.567443994569424,9.171092820411976
12031,川崎区,浜町３丁目,35.515035,139.720805,1479,1479,4730.393,351,3382.462,71.50488342089125,0.12377821985025687,9,7.96878188353449,10.404393858887033,8.943026673675508
12032,川崎区,浜町４丁目,35.515035,139.720805,930,930,2630.504,176,1754.455,66.69653420029013,0.12377821985025687,9,4.431325815796914,10.404393858887033,6.820553033032962
12033,川崎区,南渡田町,35.5083574,139.7164516,3,3,30.0,2,27.778,92.59333333333333,0.30492061887002014,2,0.05053775796345773,25.63063371130464,10.282576139299932
20001,幸区,遠藤町,35.5423134,139.6923886,1393,1393,3596.564,223,2218.231,61.676394469832886,0.12561924064713686,12,6.05874269773618,10.559144068546813,7.858903246060432
20002,幸区,大宮町,35.5299976,139.6934161,3879,3879,10328.671,645,5953.827,57.643689105791054,0.11861252618698796,20,17.39959583607283,9.97018248072998,14.427830493935689
20003,幸区,河原町,35.5398668,139.6941208,6026,6026,38468.724,3082,34155.379,88.78739778319655,0.16533107976335906,11,64.8041020891686,13.897191873126502,44.441338002751756
20005,幸区,小向町,35.5475607,139.6952767,2365,2365,8971.851999999999,658,6738.236,75.10418138863638,0.22211884452649072,4,15.113909495332138,18.6705863497657,16.53658023710556
20007,幸区,小向仲野町,35.5504143,139.696698,2559,2559,8599.913999999999,606,6108.907,71.03451267070811,0.2691774794873794,3,14.48734574128505,22.626181875270916,17.742880194879397
20008,幸区,小向西町１丁目,35.5480299,139.6914254,1218,1218,4057.35,289,2830.459,69.76127275191935,0.23742775644980785,8,6.83497907576784,19.957403605611642,12.083948887705361
20009,幸区,小向西町２丁目,35.5465901,139.6909795,626,626,1940.89,147,1422.675,73.30013550484571,0.21560475415587413,16,3.2696076351231826,18.12303313781718,9.210977836200783
20010,幸区,小向西町３丁目,35.5480035,139.6877854,1172,1172,3466.664,237,2368.4519999999998,68.32078332367946,0.08820694494944868,15,5.8399142057544084,7.41438839121684,6.469703879939381
20011,幸区,小向西町４丁目,35.546137,139.6876597,2113,2113,5510.068,354,3454.229,62.689407825819934,0.09064589317869039,21,9.282216098206455,7.6193984326374125,8.617089031978837
20012,幸区,紺屋町,35.5423811,139.6899633,1319,1319,3867.5480000000002,278,2770.901,71.64490266184154,0.027466163640969744,20,6.515240157868502,2.3087162237347276,4.832630584214992
20013,幸区,幸町１丁目,35.5349861,139.6981122,834,834,2135.716,152,1400.901,65.5939741051713,0.08644653978842821,10,3.59780994288947,7.266414469240644,5.065251753429939
20014,幸区,幸町２丁目,35.5368344,139.6995268,747,747,2440.831,170,1770.23,72.52570948172978,0.21472753797629454,3,4.111804210256817,18.049297203960837,9.686801407738425
20015,幸区,幸町３丁目,35.5376966,139.6975226,1400,1400,3885.301,252,2394.019,61.61733672629225,0.24371280017412444,3,6.545146718439343,20.485703902765902,12.121369592169966
20016,幸区,幸町４丁目,35.535547,139.6961397,765,765,2505.145,179,1808.224,72.18041271064149,0.11439678010719312,10,4.220147055778877,9.615820601262755,6.378416473972428
20017,幸区,下平間,35.55061,139.6803594,7975,7975,24362.662,1701,17197.156,70.58816479085905,0.06588559648250863,11,41.04114385005097,5.538128567861281,26.839937737175095
20018,幸区,神明町１丁目,35.5395395,139.6893824,2313,2313,5828.206,343,3249.5699999999997,55.75592214825625,0.1784262364267701,12,9.818148806305738,14.997928074816794,11.89006051371016
20019,幸区,神明町２丁目,35.5378426,139.6888577,1785,1785,4772.216,316,3158.459,66.1843261076196,0.061757838582371744,9,8.039236571911347,5.191162688087664,6.900007018381874
20020,幸区,塚越１丁目,35.546502,139.678527,1935,1935,4501.6,299,2902.019,64.46638972809666,0.1278312840773166,8,7.583359041610045,10.745081231873254,8.848047917715329
20021,幸区,塚越２丁目,35.5450059,139.6806193,3137,3137,9070.031,640,6359.593,70.11655197209357,0.16670520860897248,7,15.279301046635286,14.01269666661857,14.7726592946286
20022,幸区,塚越３丁目,35.5421551,139.6777808,2976,2976,7611.925,483,4660.023,61.22003304026248,0.38079550016463587,2,12.822987442866433,32.008429012776205,20.497164070830344
20023,幸区,塚越４丁目,35.5416493,139.6816503,6277,6277,18296.089,1250,12024.949999999999,65.72415558319594,0.0910886372093472,5,30.821443918662712,7.656614053278892,21.555511972509183
