id,source,name,address,address_detail,facility_type,available_24h,available_time,latitude,longitude,everyone_allow,note,ward
kawasaki_,川崎市オープンデータ,,,,,False,,35.53091408,139.7030842,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.52980978,139.7024033,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.53193931,139.7035923,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.59939597,139.6065644,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.60318183,139.506207,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.58482442,139.6104129,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.56819708,139.6487301,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.57624,139.65848,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.604584,139.609174,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.56873397,139.6589578,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.60992364,139.5734323,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.60584214,139.5057464,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.52753872,139.6947484,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.53092736,139.6947596,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.53198675,139.6985923,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.60207,139.62603,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.58485686,139.4946869,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.60806917,139.5574537,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.53523033,139.7008481,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.49552769,139.7127823,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.51444681,139.7231578,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.62495819,139.5230607,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.54563214,139.6727893,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.546019,139.672126,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.54677647,139.6712461,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.59881,139.61401,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.52907175,139.7094425,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.54575472,139.6860804,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.53303425,139.6850476,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.59128,139.54954,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.590015,139.549274,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.50468394,139.7419888,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.57770725,139.6570367,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.591437,139.524814,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.585733,139.608616,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.51469447,139.7836408,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.515337,139.7837039,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.59358892,139.5246009,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.585979,139.609155,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.59228081,139.5247719,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.51536603,139.7844542,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.51974,139.74379,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.5307412,139.7489482,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.56999724,139.6620559,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.59010087,139.5951937,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.61985745,139.5527836,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.59885556,139.6371519,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.52476531,139.6934103,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.53066292,139.6852039,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.58108728,139.6423532,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.53057717,139.7114864,False,,
kawasaki_,川崎市オープンデータ,,,,,False,,35.54385697,139.6868368,False,,
