id,source,name,address,latitude,longitude
kawasaki_437,川崎市オープンデータ,京町小学校,川崎区京町1-1-4,35.51943131,139.6923249
kawasaki_438,川崎市オープンデータ,新町小学校,川崎区渡田新町3-15-1,35.51810189,139.7007324
kawasaki_439,川崎市オープンデータ,浅田小学校,川崎区浅田2-11-21,35.50705017,139.7029002
kawasaki_440,川崎市オープンデータ,旭町小学校,川崎区旭町2-2-1,35.53210442,139.7148452
kawasaki_441,川崎市オープンデータ,宮前小学校,川崎区宮前町8-13,35.52875203,139.7059961
kawasaki_442,川崎市オープンデータ,古市場小学校,幸区古市場1-1,35.55529472,139.6863345
kawasaki_435,川崎市オープンデータ,大島小学校,川崎区浜町1-5-1,35.51691381,139.7175594
kawasaki_462,川崎市オープンデータ,東門前小学校,川崎区東門前3-4-6,35.53629875,139.7354037
kawasaki_387,川崎市オープンデータ,多摩消防署,多摩区枡形2-6-1,35.61795669,139.5572675
kawasaki_385,川崎市オープンデータ,高津消防署,高津区二子5-14-5,35.60151347,139.6192397
kawasaki_331,川崎市オープンデータ,多摩スポーツセンター,多摩区菅北浦4-12-5,35.62426778,139.5302376
kawasaki_332,川崎市オープンデータ,多摩市民館,多摩区登戸1775-1,35.61946314,139.562119
kawasaki_333,川崎市オープンデータ,多摩市民館,多摩区登戸1775-１,35.61953782,139.5619651
kawasaki_334,川崎市オープンデータ,多摩区役所生田出張所,多摩区生田7-16-1,35.616009,139.541938
kawasaki_335,川崎市オープンデータ,麻生区役所,麻生区万福寺1-5-1,35.603854,139.5058788
kawasaki_336,川崎市オープンデータ,柿生分庁舎,麻生区上麻生6-29-18,35.58767,139.497
kawasaki_337,川崎市オープンデータ,麻生スポーツセンター,麻生区上麻生3-6-1,35.60013281,139.5051185
kawasaki_338,川崎市オープンデータ,麻生市民交流館やまゆり,麻生区上麻生1-11-5,35.6012525,139.5085995
kawasaki_339,川崎市オープンデータ,白山中学校跡地施設,麻生区白山1-1-1,35.59042408,139.5145369
kawasaki_340,川崎市オープンデータ,麻生市民館,麻生区万福寺1‐5‐2,35.60433214,139.505337
kawasaki_341,川崎市オープンデータ,麻生市民館岡上分館,麻生区岡上3-15-5,35.58083667,139.4825602
kawasaki_342,川崎市オープンデータ,王禅寺ふるさと公園,麻生区王禅寺528-1,35.58525772,139.519874
kawasaki_343,川崎市オープンデータ,とんびいけ公園,麻生区栗木台3-1,35.61041664,139.4761409
kawasaki_344,川崎市オープンデータ,麻生区役所道路公園センター,麻生区古沢120,35.60475,139.50122
kawasaki_345,川崎市オープンデータ,片平公園,川崎市麻生区片平5丁目27−1,35.59847393,139.4926907
kawasaki_346,川崎市オープンデータ,入江崎余熱利用プール,川崎区塩浜3-24-12,35.52217,139.7432536
kawasaki_329,川崎市オープンデータ,多摩区役所道路公園センター,多摩区菅北浦4-11-20,35.62502,139.53087
kawasaki_327,川崎市オープンデータ,稲田公園（児童プール）,多摩区菅稲田堤2-9-1,35.63743447,139.5369019
kawasaki_312,川崎市オープンデータ,高津区役所,高津区下作延2-8-1,35.59943739,139.6080015
kawasaki_314,川崎市オープンデータ,川崎市大山街道ふるさと館,高津区溝口3-13-3,35.60347394,139.6127721
kawasaki_315,川崎市オープンデータ,高津スポーツセンター,高津区二子3-15-1,35.60335286,139.6221718
kawasaki_316,川崎市オープンデータ,高津市民館,高津区溝口1-4-1 ノクティ2 11階,35.59895214,139.6127686
kawasaki_317,川崎市オープンデータ,プラザ橘,高津区久末2012-1,35.57013928,139.6239559
kawasaki_318,川崎市オープンデータ,高津区役所道路公園センター,高津区溝口5-15-7,35.60803333,139.6144749
kawasaki_319,川崎市オープンデータ,高津区役所橘出張所,高津区千年1362-1,35.58207922,139.6206157
kawasaki_320,川崎市オープンデータ,宮前区役所,宮前区宮前平2-20-5,35.58901869,139.5786028
kawasaki_321,川崎市オープンデータ,宮前区役所向丘出張所,宮前区平1-1-10,35.59967483,139.5767967
kawasaki_322,川崎市オープンデータ,宮前スポーツセンター,宮前区犬蔵1-10-3,35.58973581,139.5623082
kawasaki_323,川崎市オープンデータ,宮前市民館,宮前区宮前平2-20-4,35.58939669,139.5797474
kawasaki_324,川崎市オープンデータ,有馬・野川生涯学習支援施設,宮前区東有馬4-6-1,35.571227,139.5884061
kawasaki_325,川崎市オープンデータ,宮前市民館菅生分館,宮前区菅生5-4-11,35.59491142,139.5555636
kawasaki_326,川崎市オープンデータ,宮前区役所道路公園センター,"宮前区
有馬2-6-4",35.57971633,139.5835894
kawasaki_328,川崎市オープンデータ,多摩区役所,多摩区登戸1775-1,35.6195425,139.5622451
kawasaki_347,川崎市オープンデータ,生田ふれあい広場,多摩区生田1-1-1,35.62391364,139.5425437
kawasaki_348,川崎市オープンデータ,第1配水工事事務所整備課,中原区上平間1183,35.55419628,139.6772166
kawasaki_349,川崎市オープンデータ,第2配水工事事務所,高津区梶ケ谷2-13-5,35.58850275,139.6004499
kawasaki_370,川崎市オープンデータ,川崎病院,川崎区新川通12-1,35.52665736,139.7057979
kawasaki_373,川崎市オープンデータ,多摩病院,多摩区宿河原1-30-37,35.61971789,139.5724846
kawasaki_375,川崎市オープンデータ,井田病院,中原区井田2-27-1,35.55946628,139.640818
kawasaki_379,川崎市オープンデータ,消防訓練センター,宮前区犬蔵1-10-2,35.588888,139.563808
kawasaki_380,川崎市オープンデータ,消防訓練センター,宮前区犬蔵1-10-2,35.588822,139.564766
kawasaki_381,川崎市オープンデータ,臨港消防署,川崎区池上新町3-1-5,35.52229622,139.7315224
kawasaki_382,川崎市オープンデータ,川崎消防署・消防局総合庁舎（川崎消防署）,川崎区南町20-7,35.52542678,139.6992136
kawasaki_383,川崎市オープンデータ,幸消防署,幸区戸手2-12-1,35.54395639,139.6923514
kawasaki_384,川崎市オープンデータ,中原消防署,中原区新丸子東3-1175-1,35.57457125,139.6625248
