台帳番号,設置場所,設置位置,郵便番号,住所,24時間365日利用可能か,利用開始時間,利用終了時間,使用可能な曜日,使用可能日・使用可能時間帯の補足,使用対象者の範囲,緯度,経度,,,
30,かわさき新産業創造センター,KBIC本館1階アメニティ,212-0032,幸区新川崎7-7,365日24時間使用可ではない,9時00分,17時00分,年末年始以外利用可能,年末年始12月29日〜1月3日は使用不可,外部の使用も認める,35.546019,139.672126,,,
31,慶應義塾大学新川崎タウンキャンパス厚生棟,受付横の机上,212-0032,幸区新川崎7-1,365日24時間使用可ではない,8時30分,17時00分,年末年始以外利用可能,年末年始12月29日〜1月3日は使用不可,外部の使用も認める,35.54677647,139.6712461,,,
32,川崎市生活文化会館てくのかわさき,２階事務所,213-0001,高津区溝口1-6-10,365日24時間使用可ではない,9時00分,22時00分,年末年始以外利用可能,年末年始12月29日〜1月3日は使用不可,外部の使用も認める,35.59881,139.61401,,,
33,川崎競輪場,ファン救護室,210-0011,川崎区富士見2-1-6,365日24時間使用可ではない,9時00分,17時00分,競輪場場内開催日,競輪場場内開催日のみ使用可能,外部の使用も認める,35.52907175,139.7094425,,,
34,川崎競輪場,メインスタンド5階総合案内内側,210-0011,川崎区富士見2-1-6,365日24時間使用可ではない,9時00分,17時00分,競輪場場内開催日,競輪場場内開催日のみ使用可能,外部の使用も認める,35.52907175,139.7094425,,,
35,川崎競輪場,西スタンド1階総合案内内側,210-0011,川崎区富士見2-1-6,365日24時間使用可ではない,9時00分,17時00分,競輪場場内開催日,競輪場場内開催日のみ使用可能,外部の使用も認める,35.52907175,139.7094425,,,
36,川崎競輪場,選手入場門,210-0011,川崎区富士見2-1-6,365日24時間使用可ではない,9時00分,17時00分,競輪場場内開催日,競輪場場内開催日のみ使用可能,外部の使用も認める,35.52907175,139.7094425,,,
37,小向会館,1階エントランス,212-0004,幸区小向西町4-110,365日24時間使用可ではない,施設利用開始時間,施設利用終了時間,競輪本場開催中及び施設貸出時,競輪場場内開催日及び施設貸出中のみ使用可能,外部の使用も認める,35.54575472,139.6860804,,,
38,南部市場,守衛室,212-0016,幸区南幸町3-126-1,365日24時間使用可,-,-,-,,外部の使用も認める,35.53303425,139.6850476,,,
39,北部市場,北門守衛室,216-0012,宮前区水沢1-1-1,365日24時間使用可,-,-,-,,外部の使用も認める,35.59128,139.54954,,,
40,北部市場,南門郵便局前,216-0012,宮前区水沢1-1-1,365日24時間使用可,-,-,-,,外部の使用も認める,35.590015,139.549274,,,
41,川崎エコタウン会館,1階ロビー（入口付近）,210-0866,川崎区水江町6-6,365日24時間使用可ではない,9時00分,16時00分,月〜金（祝日、年末年始除く）,,外部の使用も認める,35.50468394,139.7419888,,,
42,川崎市コンベンションホール,2階事務所,211-0063,中原区小杉町2-276-1,365日24時間使用可ではない,9時00分,22時00分,下記以外,年末年始12月29日〜1月3日は休館日なので使用不可。夜間の予約がない日は18時閉館なので、18時以降使用不可。,外部の使用も認める,35.57770725,139.6570367,,,
43,王禅寺処理センター,B1階玄関ホール,215-0013,麻生区王禅寺1285,365日24時間使用可ではない,8時30分,17時15分,1/1〜3及び日曜日以外,１月１日〜３日は使用不可,外部の使用も認める,35.591437,139.524814,,,
44,橘処理センター,2階市管理事務室,213-0014,高津区新作1-20-1,365日24時間使用可ではない,8時30分,17時15分,1/1〜3及び日曜日以外,,外部の使用も認める,35.585733,139.608616,,,
45,浮島処理センター,4階事務室,210-0862,川崎区浮島町509-1,365日24時間使用可ではない,8時30分,17時15分,1/1〜3及び日曜日以外,,外部の使用も認める,35.51469447,139.7836408,,,
46,かわさきエコ暮らし未来館,2階事務室,210-0862,川崎区浮島町509-1,365日24時間使用可ではない,9時00分,16時30分,月曜日以外,月曜日が祝日の場合は当該日使用可能、翌平日使用不可,外部の使用も認める,35.515337,139.7837039,,,
47,王禅寺余熱利用市民施設,1階プール監視室,215-0013,麻生区王禅寺1321,365日24時間使用可ではない,9時00分,21時00分,下記以外,年末年始12/29〜1/3及び７，８月を除いた第４水曜日は使用不可,外部の使用も認める,35.59358892,139.5246009,,,
48,王禅寺余熱利用市民施設,3階フロント,215-0013,麻生区王禅寺1321,365日24時間使用可ではない,9時00分,21時00分,下記以外,年末年始12/29〜1/3及び７，８月を除いた第４水曜日は使用不可,外部の使用も認める,35.59358892,139.5246009,,,
49,橘処理センター,４階見学者通路,213-0014,高津区新作1-20-1,365日24時間使用可ではない,8時30分,17時15分,1/1〜3及び日曜日以外,,施設利用者・職員のみ,35.585979,139.609155,,,
50,王禅寺エコ暮らし環境館,3階展示室内受付,215-0013,麻生区王禅寺1285,365日24時間使用可ではない,9時,16時30分,水曜日以外,12/29〜1/3及び臨時休館日,外部の使用も認める,35.59228081,139.5247719,,,
